ProductId,Gender,Item-type,Itemcategory,ProductType,Colour,Pattern,Material,Brand,Usage,substyle,specific-style,ProductTitle,Image,ImageURL
39583,Women,Footwear,Sandal,Sandals,Red,Floral,Leather,Adidas,Casual,Everyday,Basic,Adidas Red Sandals,,http://assets.myntassets.com/v1/images/style/properties/f79912503e091e645cc5ad89e3746257_images.jpg
38506,Women,Apparel,Bottomwear,Shorts,Pink,Solid,Cotton,Nike,Casual,Everyday,Basic,Nike Pink Shorts,,http://assets.myntassets.com/v1/images/style/properties/0fe19b1763b81265b02894e87fcd9d2a_images.jpg
32812,Women,Footwear,Sandal,Sandals,Black,Floral,Unknown,Puma,Casual,Everyday,Basic,Puma Black Sandals,,http://assets.myntassets.com/v1/images/style/properties/450c993ee4d0bbca5ef5015978d678b7_images.jpg
35453,Men,Apparel,Topwear,Blazers,Off White,Solid,Cotton,Reebok,Casual,Everyday,Basic,Reebok Off White Top,,http://assets.myntassets.com/v1/images/style/properties/f3aae7f34c7429ec0cdefd09861d5756_images.jpg
3551,Men,Footwear,Shoes,Casual Shoes,Brown,Solid,Unknown,Converse,Casual,Everyday,Basic,Converse Brown Shoes,,http://assets.myntassets.com/v1/images/style/properties/cbfbb7dc1aee995012f8bc9cda960063_images.jpg
34023,Men,Apparel,Topwear,Blazers,Green,Solid,Cotton,Vans,Casual,Everyday,Basic,Vans Green Tshirt,,http://assets.myntassets.com/v1/images/style/properties/0e920cd506d955d767b0c3c9f19825e7_images.jpg
3301,Women,Footwear,Flip Flops,Flip Flops,Red,Solid,Unknown,Skechers,Casual,Everyday,Basic,Skechers Red Sneakers,,http://assets.myntassets.com/v1/images/style/properties/Asics-Women-Gel-Cushioning-White-Pink-Shoe_6d9b860f1d884359880b5180dc1e1544_images.jpg
22500,Women,Footwear,Shoes,Casual Shoes,Gray,Solid,Leather,Crocs,Casual,Everyday,Basic,Crocs Gray Shoes,,http://assets.myntassets.com/v1/images/style/properties/739dcbf6e32c6ee9236e444a01b49c8d_images.jpg
49600,Women,Footwear,Sandal,Sandals,Off White,Solid,Leather,Clarks,Casual,Everyday,Basic,Clarks Off White Sandals,,http://assets.myntassets.com/v1/images/style/properties/569ae45b0735189f09a9c4a81606cd4d_images.jpg
33088,Women,Footwear,Sandal,Sandals,Red,Unknown,Leather,Bata,Casual,Everyday,Basic,Bata Red Sandals,,http://assets.myntassets.com/v1/images/style/properties/ca819fc95ae22193255179d3af2981ba_images.jpg
38941,Men,Apparel,Bottomwear,Shorts,Blue,Solid,Denim,ASICS,Casual,Everyday,Basic,ASICS Blue Shorts,,http://assets.myntassets.com/v1/images/style/properties/1577780d6110a11119c9e043d5bdaada_images.jpg
13562,Women,Footwear,Sandal,Sandals,Purple,Solid,Leather,New Balance,Casual,Everyday,Basic,New Balance Purple Sandals,,http://assets.myntassets.com/v1/images/style/properties/58697c8cd4309fe63dc3a13e014b834e_images.jpg
34032,Men,Apparel,Topwear,Blazers,Red,Plaid,Cotton,Under Armour,Casual,Everyday,Basic,Under Armour Red Shirt,,http://assets.myntassets.com/v1/images/style/properties/75e759b1d9d9bf4cb69a87668433c8b1_images.jpg
2738,Men,Apparel,Topwear,Blazers,Red,Solid,Cotton,Woodland,Casual,Everyday,Basic,Woodland Red Tshirt,,http://assets.myntassets.com/v1/images/style/properties/98e2cbda9777f1f29169df99f43d52d4_images.jpg
3892,Women,Apparel,Topwear,Blazers,Pink,Polka Dot,Cotton,Sparx,Casual,Everyday,Basic,Sparx Pink Tshirt,,http://assets.myntassets.com/v1/images/style/properties/b3815b9becf3b7599396630e6d767602_images.jpg
36751,Women,Apparel,Topwear,Blazers,Off White,Striped,Cotton,Red Tape,Casual,Everyday,Basic,Red Tape Off White Tshirt,,http://assets.myntassets.com/v1/images/style/properties/d3065a1272f7f6f77a002f5a640601d4_images.jpg
